id,name,sector,state,contractor,implementingAgency,ministry,startDate,sanctioned_cost_cr,physical_progress,planned_progress,progress_diff,expenditure_ratio,land_acq_delay_months,geo_difficulty,monsoon_flood_risk,utility_shifting_progress,contractor_liquidity,metrology_compliance_burden,weighbridge_calibration_gap_days,gatc_test_centre_lead_days,packaged_commodities_audit_risk,jan_vishwas_relief_index,delay_days,status,label,confidence_score,confidence_pct,is_synthetic,data_source
SYN-HWAY-MEG-PKG-01A,[SYNTHETIC] Meghalaya Strategic Border Highway NH-Pass (Pkg 01A),Highways,Meghalaya,L&T Construction,MoRTH,Ministry of Road Transport and Highways,2018-02-21,4759.2,67.7,79.8,-12.1,1.36,18,0.836,0.954,47.6,0.86,0.734,34.8,58.4,0.399,0.0,156,high_risk,2,82.4,82.4,True,SYNTHETIC
SYN-RLWY-DEL-PKG-02B,[SYNTHETIC] Delhi Multi-Modal Terminal Railway Yard (Pkg 02B),Railways,Delhi,Ircon International,IRCON,Ministry of Railways,2018-03-08,1629.0,70.2,83.6,-13.4,1.363,24,0.275,0.268,58.4,1.12,0.797,54.9,64.5,0.356,0.0,155,high_risk,2,86.1,86.1,True,SYNTHETIC
SYN-POWR-HIM-PKG-03C,[SYNTHETIC] Himachal Pradesh Run-of-River Hydroelectric Spillway (Pkg 03C),Power,Himachal Pradesh,Sterlite Power,SJVN,Ministry of Power,2018-03-18,3388.5,58.7,69.6,-10.9,1.465,6,0.87,0.688,55.3,1.13,0.619,15.9,67.3,0.333,0.0,142,high_risk,2,81.3,81.3,True,SYNTHETIC
SYN-WATR-JAM-PKG-04D,[SYNTHETIC] Jammu & Kashmir Urban Potable Water Treatment Plant (Pkg 04D),Water,Jammu & Kashmir,GVPR Engineers,WAPCOS,Ministry of Jal Shakti,2018-04-01,2589.3,81.3,84.8,-3.5,1.248,12,0.912,0.657,60.4,1.26,0.717,37.2,69.0,0.192,0.0,77,moderate,1,78.8,78.8,True,SYNTHETIC
SYN-URBN-UTT-PKG-05E,[SYNTHETIC] Uttar Pradesh Flyover Grade Separator Complex (Pkg 05E),Urban Development,Uttar Pradesh,J. Kumar Infraprojects,MMRDA,Ministry of Housing & Urban Affairs,2018-04-11,3149.8,83.8,89.0,-5.2,1.187,2,0.236,0.557,58.8,1.17,0.592,31.5,68.1,0.646,0.0,46,moderate,1,90.2,90.2,True,SYNTHETIC
SYN-TELC-MAN-PKG-06F,[SYNTHETIC] Manipur High-Altitude Satellite Earth Ground Node (Pkg 06F),Telecom,Manipur,Sterlite Technologies,BBNL (BharatNet),Ministry of Communications,2018-05-06,2811.0,30.8,51.9,-21.1,1.383,24,0.823,0.851,44.9,0.71,0.519,22.5,62.5,0.251,0.0,217,critical,2,78.9,78.9,True,SYNTHETIC
SYN-RLWY-WES-PKG-07G,[SYNTHETIC] West Bengal Double Track Electrification Package (Pkg 07G),Railways,West Bengal,Kalpataru Projects,NHSRCL,Ministry of Railways,2018-05-17,4618.8,17.2,43.6,-26.4,1.861,18,0.355,0.827,44.7,0.58,0.757,45.9,58.2,0.479,0.0,420,critical,2,83.1,83.1,True,SYNTHETIC
SYN-RLWY-ASS-PKG-08H,[SYNTHETIC] Assam High-Speed Bullet Rail Viaduct (Pkg 08H),Railways,Assam,Afcons Infrastructure,DFCCIL,Ministry of Railways,2018-05-20,3833.9,66.8,81.7,-14.9,1.305,18,0.656,0.961,51.2,0.77,0.752,48.9,64.2,0.336,0.0,169,high_risk,2,84.7,84.7,True,SYNTHETIC
SYN-WATR-HAR-PKG-09A,[SYNTHETIC] Haryana Inter-River Basin Transfer Aqueduct (Pkg 09A),Water,Haryana,Megha Engineering (MEIL),NWDA,Ministry of Jal Shakti,2018-06-17,2491.9,32.7,41.1,-8.4,1.097,6,0.238,0.228,68.4,0.99,0.661,55.5,64.5,0.332,0.0,58,moderate,1,91.9,91.9,True,SYNTHETIC
SYN-URBN-PUD-PKG-10B,[SYNTHETIC] Puducherry Flyover Grade Separator Complex (Pkg 10B),Urban Development,Puducherry,ITD Cementation,Maha Metro,Ministry of Housing & Urban Affairs,2018-06-22,2229.6,50.7,63.4,-12.7,1.357,18,0.317,0.639,49.4,0.83,0.61,40.5,73.2,0.531,0.0,122,high_risk,2,86.4,86.4,True,SYNTHETIC
