id,name,sector,state,contractor,implementingAgency,ministry,startDate,sanctioned_cost_cr,physical_progress,planned_progress,progress_diff,expenditure_ratio,land_acq_delay_months,geo_difficulty,monsoon_flood_risk,utility_shifting_progress,contractor_liquidity,metrology_compliance_burden,weighbridge_calibration_gap_days,gatc_test_centre_lead_days,packaged_commodities_audit_risk,jan_vishwas_relief_index,delay_days,status,label
NHAI-DEL-MUM-P4,Delhi-Mumbai Expressway (Vadodara–Kim Stretch Pkg 4),Highways,Gujarat,Dilip Buildcon Ltd.,NHAI,Ministry of Road Transport,2017-01-19,2840.0,70.9,74.2,-3.3,1.086,18,0.343,0.542,86.6,0.98,0.707,49.6,64.3,0.411,0.0,75,at_risk,1
DFCCIL-EDFC-PKG-201,Eastern Dedicated Freight Corridor (Khurja–Ludhiana),Railways,Uttar Pradesh,L&T Construction,DFCCIL,Ministry of Railways,2017-02-03,4310.0,73.6,76.0,-2.4,0.994,12,0.216,0.537,87.6,1.98,0.895,43.3,73.3,0.448,0.0,25,on_track,0
PGCIL-HVDC-RAIGARH,Raigarh-Pugalur 800kV HVDC Dipole Transmission Line,Power,Chhattisgarh,Kalpataru Power Transmission,POWERGRID,Ministry of Power,2017-02-09,1980.0,93.6,94.0,-0.4,0.955,2,0.643,0.48,41.6,1.65,0.638,30.0,55.9,0.376,0.0,2,on_track,0
JJM-UP-BUND-08,Bundelkhand Surface Water Distribution Pipeline Pkg 8,Water,Uttar Pradesh,NCC Limited,Jal Nigam,Ministry of Jal Shakti,2017-02-10,890.0,60.9,69.0,-8.1,1.222,6,0.252,0.466,72.4,1.22,0.616,60.3,59.4,0.413,0.0,75,at_risk,1
NHAI-BLR-CHE-EXP-02,Bengaluru-Chennai Expressway (Bangarapet to Malur Pkg 2),Highways,Karnataka,Tata Projects,NHAI,MoRTH Central,2017-02-19,1780.0,65.4,70.8,-5.4,0.877,0,0.449,0.577,40.3,1.41,0.608,50.2,57.6,0.363,0.0,17,on_track,0
NHAI-VR-EXP-PKG-01,Varanasi-Ranchi-Kolkata Economic Corridor Section 1,Highways,Jharkhand,Afcons Infrastructure,NHAI / Bharatmala,MoRTH,2017-03-02,3160.0,42.5,48.0,-5.5,0.931,0,0.621,0.606,68.8,1.49,0.557,50.2,70.2,0.342,0.0,12,on_track,0
MMRDA-MUM-LINE-4,Mumbai Metro Line 4 (Wadala–Ghatkopar–Kasarvadavali),Urban Development,Maharashtra,Reliance Infra - Astaldi JV,MMRDA,Urban Transit PWD,2017-03-06,3480.0,45.4,44.8,0.6,1.352,0,0.552,0.775,70.6,0.87,0.398,34.3,63.9,0.533,0.0,88,at_risk,1
PPA-POLA-DAM-PKG-01A,Polavaram Multipurpose Dam & Spillway (Pkg 1A - Andhra Pradesh),Water,Andhra Pradesh,Megha Engineering (MEIL),PPA / CWC,Ministry of Jal Shakti,2017-03-06,2946.1,91.0,91.5,-0.5,0.969,6,0.409,0.684,93.5,0.86,0.673,45.6,66.9,0.264,0.0,21,on_track,0
NHAI-VIZ-CHE-PKG-01B,Visakhapatnam-Chennai Industrial Corridor (VCIC) (Pkg 1B - Andhra Pradesh),Highways,Andhra Pradesh,KNR Constructions,NHAI,MoRTH,2017-03-07,946.2,66.4,69.9,-3.5,1.5,0,0.431,0.663,91.4,2.11,0.719,37.2,58.0,0.473,0.0,88,at_risk,1
SCR-NAD-SKL-PKG-01C,Nadikudi-Srikalahasti New Railway Line (Pkg 1C - Andhra Pradesh),Railways,Andhra Pradesh,L&T Construction,South Central Railway,Ministry of Railways,2017-03-08,3727.1,82.8,83.0,-0.2,1.119,2,0.37,0.589,94.3,1.21,0.935,62.8,69.5,0.268,0.0,14,on_track,0
